title,total_time,serving_size,ingr,instructions,nativeCuisine,country
Mom's Stovetop Pork Ribs,60,6 servings,10 pork spareribs,"Place the spareribs into a large pot, and fill with just enough water to cover. Add the soy sauce, garlic, rosemary, oregano, bay leaves, lime juice and 3/4 of the parsley. Bring to a boil, then simmer uncovered over medium heat until the water has completely evaporated, about 25 minutes.

When all of the water is gone, remove the bay leaves, and allow meat to brown, turning occasionally. Use a spatula to scrape up browned bits and softened garlic from the bottom of the pot, and toss them with the pork. The garlic will dissolve onto the meat. Remove the meat, and drain on paper towels. Season with black pepper and garnish with lime wedges and remaining parsley.
",brazilian,BRA
Vinagrete (Brazilian Tomato Slaw),215,8 servings,"5 tomatoes, diced","Mix tomatoes, cucumber, red bell pepper, onion, parsley, lime juice, olive oil, green onions, cilantro, vinegar, salt, and pepper in a large bowl. Let stand at room temperature until flavors combine, about 3 hours.
",brazilian,BRA
Feijoada (Brazilian Black Bean Stew),660,8 servings,"1 (12 ounce) package dry black beans, soaked overnight","Heat the oil in a large pot or Dutch oven. Add 3/4 cup of chopped onion, green onions, and garlic; cook and stir until softened, about 4 minutes. Pour in the soaked beans and fill with enough water to cover beans by 3 inches. Bring to a boil, then reduce heat to medium-low, and simmer uncovered for 2 hours, or until tender.

While beans are cooking, place ham hocks in smaller pot with 1/4 cup of the chopped onion. Cover with water and simmer, until meat pulls off of the bone easily, about 1 hour. Drain and add to the beans.

Preheat oven to 375 degrees F (190 degrees C). Place ham, bacon, and remaining onion in a baking dish. Bake 15 minutes or until mixture is crispy.

Drain the bacon and ham mixture, and add to the beans. Season with bay leaves, coriander, salt and pepper.  Simmer uncovered 30 minutes more. Stir in chopped cilantro and parsley just before serving.
",brazilian,BRA
Brazilian White Rice,45,8 servings,2 cups long-grain white rice,"Place the rice in a colander and rinse thoroughly with cold water; set aside.

Heat the oil in a saucepan over medium heat. Cook the onion in the oil for one minute. Stir in the garlic and cook until the garlic is golden brown. Add the rice and salt and cook and stir until the rice begins to brown. Pour hot water over rice mixture and stir. Reduce heat to low, cover the saucepan, and allow to simmer until the water has been absorbed, 20 to 25 minutes.
",brazilian,BRA
Coconut Coconut Milk Cake,60,24 servings,2 cups white sugar,"Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13-inch cake pan.

Beat sugar, butter, and egg yolks together in a bowl using an electric mixer until smooth and creamy; add shredded coconut.

Whisk flour, baking powder, and salt together in a bowl. Stir creamed butter mixture, alternating with coconut milk, into flour mixture until batter is just mixed.

Beat egg whites in a glass or metal bowl until until soft peaks form. Lift your beater or whisk straight up: the egg whites will form soft mounds rather than a sharp peak. Fold egg whites into batter. Pour batter into the prepared cake pan.

Bake in the preheated oven until a toothpick inserted in the center of the cake comes out clean, about 45 minutes.
",brazilian,BRA
Fried Sweet Bananas,15,16 slices,"3 firm bananas, halved lengthwise","Cut each banana half into 3 or 4 pieces.

Mix sugar and cinnamon together in a shallow bowl.

Melt butter in a skillet over medium-low heat; add banana slices and cook until golden brown, 5 to 10 minutes. Transfer banana slices to a paper towel-lined plate. Coat banana slices, 1 at a time, with cinnamon-sugar.
",brazilian,BRA
Beijinho de Coco (Coconut Little Kiss),170,10 candies,1 (14 ounce) can sweetened condensed milk,"Bring milk and butter to a simmer in a saucepan over medium-low heat. Continue to cook, stirring often, until the milk has reduced to half and thickened, about 20 minutes. Remove from heat, stir in the 1/4 cup coconut, and allow to cool a bit before pouring into a buttered bowl. Chill in the refrigerator until cold, about 2 hours.

With buttered or oiled hands, form milk mixture into tablespoon-sized balls, and roll in coconut flakes. Stick a clove into each beijinho as decoration.
",brazilian,BRA
Chef John's Brazilian Cheese Bread (Pao de Queijo),45,24 pao de queijo,"2 ¼ cups tapioca flour, or more as needed","Preheat the oven to 400 degrees F (200 degrees C).

Place tapioca flour in a mixing bowl. Combine milk, olive oil, and salt in a pan. Bring to a simmer over medium-high heat. Immediately remove from heat and pour into the bowl with the tapioca. Mix until a shaggy dough starts to form. Let rest for 5 minutes.

Add mozzarella and Parmesan cheeses, eggs, and cayenne. Stir with a fork until thoroughly combined. Use an ice cream scoop to portion dough onto a silicone-lined baking sheet. Poke down any jagged bits using a wet finger if desired.

Bake in the preheated oven until puffed and golden, about 20 minutes. Let cool for 5 minutes and serve warm.
",brazilian,BRA
Sweet Cornmeal Cake Brazilian-Style,40,1 10-inch round cake,2 cups cornmeal,"Preheat oven to 340 degrees F (170 degrees C). Grease and flour a 10-inch round cake pan.

Blend cornmeal, sugar, milk, coconut milk, flour, eggs, and vegetable oil in a blender until smooth; add baking powder and blend to integrate. Pour the cornmeal mixture into the prepared cake pan.

Bake in the preheated oven until a toothpick inserted into the center comes out clean, 30 to 40 minutes.
",brazilian,BRA
Brazilian Style Flan (Pudim de Leite Condensado),195,8 servings,1 cup white sugar,"Preheat an oven to 350 degrees F (175 degrees C).

Melt the sugar in a heavy saucepan over low heat, stirring constantly. Once the sugar becomes a golden brown syrup after about 10 minutes, pour it immediately into a round baking dish, swirling so that the syrup coats all sides of the dish. Set aside to cool.

Place the egg yolks into a blender and blend on medium for 5 minutes, then add condensed milk, 3/4 cup plus 2 tablespoons milk, and egg whites. Continue to blend until all ingredients are combined. Pour egg mixture into the baking dish and cover with aluminum foil.  Line a roasting pan with a damp kitchen towel.  Place baking dish on towel, inside roasting pan, and place roasting pan on oven rack.  Fill roasting pan with boiling water to reach halfway up the sides of the baking dish.

Bake in the preheated oven until a knife inserted 1 inch from the edge comes out clean, 45 to 50 minutes. The center of the flan will still be soft.  Allow flan to cool before unmolding onto a plate. Refrigerate before serving.
",brazilian,BRA
